code;en;en_desc;de;de_desc
Additional Service;Additional Service;Listed as a separate item with an ID referencing the main article.;Zusätzliche Leistung;Dies wird als Stückliste aufgeführt, indem es als separates Item aufgeführt wird,  bei welchem die ID eine Zuordnung zum übergeordneten Artikel herstellt.
Additive Description;Additive Name;Name/designation of the additive.;Zugabemittel Bezeichnung;Bezeichnung der Zusatzmittel
Air Temperature;Air Temperature;Temperature at arrival on the construction site.;Lufttemperatur;Bei Ankunft auf der Baustelle
Amount Added;Quantity of Additive;Quantity of the additive added.;Zugabemenge;Menge der Zusatzmittel
Batch Binder Designation;Binder Batch Description;Description of the binder batch.;ChargenBindemittelBezeichnung;Bezeichnung der Charge Bindemittel
Batch Cement Designation;Cement Batch Designation;Description of the cement batch.;ChargenZementBezeichnung;Bezeichnung der Zementcharge
Certification body;Certification Body;Accredited certification body.;Zertifizierungsstelle;Akkreditierte Zertifizierungsstelle
Chloride Content;Chloride Content;Indicates the chloride content of the concrete.;Chloridgehalt;Gibt den Chloridgehalt des Betons an.
Concrete Temperature;Concrete Temperature;Temperature of the concrete upon arrival at the site.;Betontemperatur;Bei Ankunft auf der Baustelle
Concrete Type;Type of Concrete;Type of concrete: property-based or composition-based.;Betonsorte;Art, des Betons: Beton nach Eigenschaften Beton nach Zusammensetzung
Consistency Range After Addition;Consistency Range After Addition;Consistency range after additive was added.;Konsistenzbereich nach Zugabe;Wie ist der Konsistenzbereich nach der Zugabe des Zusatzmittels?
Consistency Range Before Addition;Consistency Range Before Addition;Consistency range before additive was added.;Konsistenzbereich vor Zugabe;Wie ist der Konsistenzbereich vor der Zugabe des Zusatzmittels?
End of Production;Production End;Time of the end of the mixture's production.;Produktionsende;Der Zeitpunkt des Produktionsendes des Mischgutes.
Estimated Quantity of Concrete Before Addition;Estimated Concrete Quantity Before Addition;Concrete quantity before adding the additive.;Geschätze Menge Beton vor Zugabe;Wie ist groß ist die Betonmenge vor Zugabe des Zusatzmittels?
Extended Workability Time;Extended Workability Time;Indicates the workability time after admixture use.;Verlängerte Verarbeitbarkeitszeit;Wie ist die Verarbeitbarkeitszeit nach Zugabemitteln
Externally Monitored;Externally Monitored;Is additional external control being performed?;Fremdüberwacht;Wird eine zusätzliche, externe Kontrolle durchgeführt?
Hazardous Goods Class;Hazard Class;Hazardous materials classification.;Gefahrgutklasse;Gefahrgutklasse des Artikels
Max. Added Amount of Superplasticizer;Max. Superplasticizer Quantity;Maximum quantity of superplasticizer allowed on-site.;Max. Zusatzmenge Fließmittel;Max. Menge an Fließmitteln auf der Baustelle
Max. Water-Cement Ratio w/c (eq);Max. Water-Cement Ratio (w/c eq);Key value for preparing materials with hydraulic binders.;Max. Wasserzementgehalt w/z(eq);Kennwert bei der Zubereitung von Baustoffen mit hydraulischem Bindemittel.
Maximum grain size;Maximum Aggregate Size;Indicates the largest particle size in the aggregate.;Groesstkorn;Gibt den größten Gesteinskorndurchmesser einer Gesteinskörnung an.
Mix Additives;Mix Additions;Describes binders, admixtures, and additives.;Rezeptzusätze;Beschreibt Bindemittel, Zusatzmittel und Zusatzstoffe.
Mix Design;Mix Design;Standardized or custom mix design of the material.;Rezept;Genormte oder freie Rezeptur des Materials
Mixture additive manufacturer;Admixture Manufacturer;Manufacturer of the Admixture.;MischungZusatzstoffHersteller;Der Hersteller des Zusatzstoffes.
Mixture additive name;Admixture Description;Name of the Admixture.;MischungZusatzstoffBezeichnung;Bezeichnung des Zusatzstoffes
Monitoring Class;Monitoring Class;Level/class of monitoring required for the concrete.;Überwachungsklasse;
Notes / Remarks;Notes;Notes regarding the mix, delivery, and additions (free text).;Hinweise;Hinweise zur Rezeptur, Anlieferung und Zugaben als Freitext
Number of Batches;Number of Batches;Number of included batches in the delivered mixture.;Anzahl Chargen;Anzahl der inkludierten Chargen im gelieferten Mischgut.
Place of Addition;Addition Location;Location where the additives were added.;Zugabeort;Ort, an welchem Zusätze hinzugeben wurden.
Pollutant Class;Contaminant Class;Contaminant class of the item.;Schadstoffklasse;Schadstoffklasse des Artikels
Product Addition at Construction Site;On-Site Product Addition;Listed as a separate item with an ID referencing the main article.;Produktbeigabe auf der Baustelle;Dies wird als Stückliste aufgeführt, indem es als separates Item aufgeführt wird,  bei welchem die ID eine Zuordnung zum übergeordneten Artikel herstellt.
Remaining Quantity in Vehicle;Remaining Quantity in Vehicle;Amount of item that remains in the vehicle and is not unloaded.;Restmenge im Fahrzeug;Wie groß ist die Artikelmenge, die nicht entladen wird?
Retardation Time;Retardation Time;Time by which the addition of a retarder delays setting and heat development.;Verzögerungszeit;Um welche Zeitspanne verzögert die Zugabe von Verzögerern das Erstarren sowie die Wärmeentwicklung
