CODE;NAME;DESCRIPTION
Additional Service;Zusaetzliche Leistung;Dies wird als Stueckliste aufgefuehrt, indem es als separates Item aufgefuehrt wird, bei welchem die ID eine Zuordnung zum uebergeordneten Artikel herstellt.
Additive Description;Zugabemittel Bezeichnung;Bezeichnung der Zusatzmittel
Air Temperature;Lufttemperatur;Bei Ankunft auf der Baustelle
Amount Added;Zugabemenge;Menge der Zusatzmittel
Batch Binder Designation;ChargenBindemittelBezeichnung;Bezeichnung der Charge Bindemittel
Batch Cement Designation;ChargenZementBezeichnung;Bezeichnung der Zementcharge
Certification body;Zertifizierungsstelle;Akkreditierte Zertifizierungsstelle
Chloride Content;Chloridgehalt;Gibt den Chloridgehalt des Betons an.
Concrete Temperature;Betontemperatur;Bei Ankunft auf der Baustelle
Concrete Type;Betonsorte;Art, des Betons: Beton nach Eigenschaften Beton nach Zusammensetzung
Consistency Range After Addition;Konsistenzbereich nach Zugabe;Wie ist der Konsistenzbereich nach der Zugabe des Zusatzmittels?
Consistency Range Before Addition;Konsistenzbereich vor Zugabe;Wie ist der Konsistenzbereich vor der Zugabe des Zusatzmittels?
End of Production;Produktionsende;Der Zeitpunkt des Produktionsendes des Mischgutes.
Estimated Quantity of Concrete Before Addition;Geschaetze Menge Beton vor Zugabe;Wie ist gross ist die Betonmenge vor Zugabe des Zusatzmittels?
Extended Workability Time;Verlaengerte Verarbeitbarkeitszeit;Wie ist die Verarbeitbarkeitszeit nach Zugabemitteln
Externally Monitored;Fremdueberwacht;Wird eine zusaetzliche, externe Kontrolle durchgefuehrt?
Hazardous Goods Class;Gefahrgutklasse;Gefahrgutklasse des Artikels
Max. Added Amount of Superplasticizer;Max. Zusatzmenge Fließmittel;Max. Menge an Fliessmitteln auf der Baustelle
Max. Water-Cement Ratio w/c (eq);Max. Wasserzementgehalt w/z(eq);Kennwert bei der Zubereitung von Baustoffen mit hydraulischem Bindemittel.
Maximum grain size;Groesstkorn;Gibt den groessten Gesteinskorndurchmesser einer Gesteinskoernung an.
Mix Additives;Rezeptzusaetze;Beschreibt Bindemittel, Zusatzmittel und Zusatzstoffe.
Mix Design;Rezept;Genormte oder freie Rezeptur des Materials
Mixture additive manufacturer;MischungZusatzstoffHersteller;Der Hersteller des Zusatzstoffes.
Mixture additive name;MischungZusatzstoffBezeichnung;Bezeichnung des Zusatzstoffes
Monitoring Class;Ueberwachungsklasse;
Notes / Remarks;Hinweise;Hinweise zur Rezeptur, Anlieferung und Zugaben als Freitext
Number of Batches;Anzahl Chargen;Anzahl der inkludierten Chargen im gelieferten Mischgut.
Place of Addition;Zugabeort;Ort, an welchem Zusaetze hinzugeben wurden.
Pollutant Class;Schadstoffklasse;Schadstoffklasse des Artikels
Product Addition at Construction Site;Produktbeigabe auf der Baustelle;Dies wird als Stueckliste aufgefuehrt, indem es als separates Item aufgefuehrt wird, bei welchem die ID eine Zuordnung zum uebergeordneten Artikel herstellt.
Remaining Quantity in Vehicle;Restmenge im Fahrzeug;Wie groß ist die Artikelmenge, die nicht entladen wird?
Retardation Time;Verzoegerungszeit;Um welche Zeitspanne verzoegert die Zugabe von Verzoegerern das Erstarren sowie die Waermeentwicklung
Retarder Addition at Customerâ€™s Request;Verzoegererzugabe auf Verlangen des Kunden;Verlangt der Kunde eine Verzoegerzugabe?
Start of Production;Produktionsbeginn;Der Zeitpunkt des Produktionsbeginns des Mischgutes.
Steel Fiber Addition;Stahlfaserbeigabe;Art der Faserbeigabe zu Beton: langsam, mittel, schnell
Storage unit;Lagerfach;Hinweis auf das Lagerfach oder Silo eines Artikels zur UnterstÃ¼tzung der Kommissionierung.
Strength Class;Festigkeitsklasse;Festigkeitsklasse/Leistungsklasse des gelieferten Betons
Superplasticizer Addition at Customerâ€™s Request;Fließmittelzugabe auf Verlangen des Kunden;Verlangt der Kunde eine Fließmittelzugabe?
Testing age;Pruefalter;Alter des Probekoerpers im Augenblick der Pruefung.
Time of Addition;Zugabezeitpunkt;Zugabezeitpunkt der Zusatzmittel
Water added at customer's request;Wasserzugabe auf Verlangen des Kunden;Dies wird als Stueckliste aufgefuehrt, indem es als separates Item aufgefuehrt wird,  bei welchem die ID eine Zuordnung zum uebergeordneten Artikel herstellt.
Workability;Arbeitsvermoegen;Moegliche Energieaufnahme eines Betonbauteils bis zum Versagen.
Idended Use;Verwendung;Geplante Verwendung des gelieferten Betons.
compressive strength;Druckfestigkeit;Die vom Material im eingebauten Zustand ertragbare Druckbeanspruchung.
consistency class;Konsistenzklasse;Die Beschreibung der Konsistenz von Frischbeton erfolgt ueber die Konsistenzklassen.
exposure class;Expositionsklasse;In den Expositionsklassen sind die Anforderungen an die Haltbarkeit fuer die Bewehrung und die Betonkorrosion in Abhaengigkeit von den chemischen und physikalischen Einwirkungen festgelegt
gross density class;Rohdichteklasse;Die Rohdichteklasse des Materials .
moisture class;Feuchtigkeitsklasse;Die Feuchtigkeitsklasse ist eine Einstufung der Umgebungsbedingungen, die vom Planer hinsichtlich einer moeglichen schaedigenden Alkali-Kieselsaeure-Reaktion festzulegen ist.
